List 1 (MWR),List 2 (WR),List 3 (RNT)
lemon,Red chilli powder,Eggs
peeled garlic,Salt,paneer
curd,Sugar,soy chunks 
Ginger Garlic paste,turmeric,tofu
Fresh coriander,cumin seeds,chickpea
green chilly,coriander powder,Rajma
Tomato,garam masala,chicken
ginger,cumin powder,fish
,chat Masala,mutton
,pepper powder,shrimp
,kashmiri chili powder,Noodles
,coriander seeds,ghee 
,fennel seeds,butter
,Mustard seeds,parmesan cheese
,khade masale(custom kit),peas
,hing,carrot
,kasuri methi,lettuce
,sambhar masala,orange
,Amchur,brocolli
,Basmati rice,cabbage
,Atta,curry leaves
,Toor Dal,capsicum
,besan,cucumber
,cornflour,Bhindi (Okra)
,onion,Palak (Spinach) 
,neutral oil,apple
,mustard oil,banana
,olive oil,papaya
,mustard sauce,grapes
,vinegar,Whole wheat bread
,soy sauce,green beans
,red chili sauce,cheese slice
,ketchup,corn
,honey,coconut milk/powder
