Protein Source,"Serving Size ",Requested Serving Size (Raw),Approx. Protein Content
Soy Chunks,1,40 grams (dry),~21 g
Kidney Beans (Rajma),1,60 grams (dry),~15 g
Chickpeas (Chana),1,60 grams (dry),~14 g
Eggs,1,"3 eggs ",~19 g
Fish (Rohu),1,100 grams (fillet),~19 g
Tofu,1,100 grams (firm),~20.5 g
Chicken,1,100 grams (boneless breast),31gm
Paneer,1,100 grams,~22 g
Mutton,1,100 grams (boneless),~21 g
Shrimp,1,100 grams (peeled & deveined),~22 g
roti,1," 2 nos (50 gm raw atta )",calories (200)
"rice ",1,50 gm (dry),calories(200)
